id,admin_id,action,target_type,target_id,reason,created_at
150001,1,delete_review,review,90002,Admin manually deleted review,2026-08-27 14:55:42
150002,1,reveal_anonymous,review,60003,ทดสอบ,2026-08-27 15:25:37
180001,1,update_user_role,user,30002,Changed role from student to admin,2026-08-28 04:33:17
180002,1,update_user_role,user,2,Changed role from student to admin,2026-08-28 04:33:42
210001,2,approve_job,job,180001,,2026-08-28 06:02:14
210002,1,reveal_anonymous,review,120001,ตรวจสอบ,2026-08-28 06:09:10
210003,1,reveal_anonymous,review,30001,ทดสอบ,2026-08-28 06:17:58
210004,2,approve_post,post,30001,,2026-08-28 06:19:05
210005,1,approve_student_upgrade,upgrade_request,30001,,2026-08-28 06:19:50
210006,1,reveal_anonymous,review,120002,ทดสอบ,2026-08-28 06:23:00
210007,1,update_user_role,user,270007,Changed role from student to external,2026-08-28 06:23:21
240001,2,approve_review,review,150001,,2026-08-31 13:14:43
